"name";"id";"systemid";"executiontime";"executioninmiliseconds"
"bicing";"";"";"";""
"dublin";"2289";"7";"2020-07-27T10:45:04.910588Z";"4907"
"dublin";"5118";"7";"2020-07-29T18:10:13.66246Z";"13659"
"dublin";"4074";"7";"2020-07-28T21:35:05.19924Z";"5195"
"dublin";"4884";"7";"2020-07-29T13:30:08.065072Z";"8061"
"dublin";"2473";"7";"2020-07-27T14:15:05.293529Z";"5290"
"dublin";"4081";"7";"2020-07-28T21:40:19.54566Z";"19540"
"dublin";"4085";"7";"2020-07-28T21:45:05.285163Z";"5282"
"dublin";"4886";"7";"2020-07-29T13:35:05.316673Z";"5309"
"dublin";"654";"7";"2020-07-25T23:15:04.286315Z";"4279"
"dublin";"2477";"7";"2020-07-27T14:20:04.740551Z";"4737"
"dublin";"4";"7";"2020-07-25T10:10:05.715556Z";"5672"
"dublin";"660";"7";"2020-07-25T23:20:04.126449Z";"4123"
"dublin";"663";"7";"2020-07-25T23:25:05.278791Z";"5270"
"dublin";"4090";"7";"2020-07-28T21:50:08.195196Z";"8184"
"dublin";"1967";"7";"2020-07-27T04:25:03.405512Z";"3402"
"dublin";"668";"7";"2020-07-25T23:30:09.65101Z";"9645"
"dublin";"2481";"7";"2020-07-27T14:25:04.84421Z";"4832"
"dublin";"1805";"7";"2020-07-27T01:20:04.102909Z";"4098"
"dublin";"671";"7";"2020-07-25T23:35:04.105993Z";"4102"
"dublin";"4093";"7";"2020-07-28T21:55:04.081499Z";"4078"
"dublin";"675";"7";"2020-07-25T23:40:08.647951Z";"8639"
"dublin";"679";"7";"2020-07-25T23:45:04.702884Z";"4699"
"dublin";"650";"7";"2020-07-25T23:10:08.760098Z";"8757"
"dublin";"4512";"7";"2020-07-29T06:10:24.231991Z";"24227"
"dublin";"685";"7";"2020-07-25T23:50:07.066698Z";"7055"
"dublin";"687";"7";"2020-07-25T23:55:05.493597Z";"5491"
"dublin";"4096";"7";"2020-07-28T22:00:08.152331Z";"8149"
"dublin";"647";"7";"2020-07-25T23:05:20.01116Z";"20008"
"dublin";"694";"7";"2020-07-26T00:00:22.127369Z";"22118"
"dublin";"1972";"7";"2020-07-27T04:30:04.099418Z";"4096"
"dublin";"697";"7";"2020-07-26T00:05:06.343393Z";"6340"
"dublin";"5075";"7";"2020-07-29T17:10:21.883237Z";"21880"
"dublin";"403";"7";"2020-07-25T18:05:02.982934Z";"2971"
"dublin";"700";"7";"2020-07-26T00:10:05.575446Z";"5567"
"dublin";"4099";"7";"2020-07-28T22:05:04.102746Z";"4098"
"dublin";"705";"7";"2020-07-26T00:15:04.485238Z";"4481"
"dublin";"712";"7";"2020-07-26T00:20:17.147978Z";"17138"
"dublin";"474";"7";"2020-07-25T19:35:05.796537Z";"5789"
"dublin";"716";"7";"2020-07-26T00:25:09.6778Z";"9669"
"dublin";"2494";"7";"2020-07-27T14:45:05.201422Z";"5198"
"dublin";"720";"7";"2020-07-26T00:30:04.156793Z";"4147"
"dublin";"164";"7";"2020-07-25T13:15:06.424618Z";"6421"
"dublin";"4392";"7";"2020-07-29T03:50:05.347035Z";"5344"
"dublin";"2499";"7";"2020-07-27T14:50:04.164437Z";"4161"
"dublin";"731";"7";"2020-07-26T00:40:19.811363Z";"19808"
"dublin";"4106";"7";"2020-07-28T22:10:15.791305Z";"15787"
"dublin";"734";"7";"2020-07-26T00:45:12.303024Z";"12300"
"dublin";"4107";"7";"2020-07-28T22:15:04.080133Z";"4077"
"dublin";"738";"7";"2020-07-26T00:50:04.064545Z";"4058"
"dublin";"740";"7";"2020-07-26T00:55:03.069432Z";"3065"
"dublin";"741";"7";"2020-07-26T01:00:04.159458Z";"4151"
"dublin";"4891";"7";"2020-07-29T13:40:05.252298Z";"5249"
"dublin";"4516";"7";"2020-07-29T06:15:11.66368Z";"11656"
"dublin";"2503";"7";"2020-07-27T14:55:04.062325Z";"4059"
"dublin";"747";"7";"2020-07-26T01:05:04.917713Z";"4910"
"dublin";"748";"7";"2020-07-26T01:10:03.008279Z";"3003"
"dublin";"640";"7";"2020-07-25T23:00:03.067781Z";"3054"
"dublin";"1976";"7";"2020-07-27T04:35:04.076653Z";"4073"
"dublin";"758";"7";"2020-07-26T01:15:14.586074Z";"14579"
"dublin";"760";"7";"2020-07-26T01:20:04.145326Z";"4142"
"dublin";"4113";"7";"2020-07-28T22:20:16.200308Z";"16197"
"dublin";"765";"7";"2020-07-26T01:25:08.199556Z";"8187"
"dublin";"48";"7";"2020-07-25T10:55:04.986345Z";"4981"
"dublin";"4340";"7";"2020-07-29T02:50:04.082578Z";"4073"
"dublin";"769";"7";"2020-07-26T01:30:05.310091Z";"5306"
"dublin";"638";"7";"2020-07-25T22:55:06.145336Z";"6141"
"dublin";"776";"7";"2020-07-26T01:35:26.887021Z";"26884"
"dublin";"4117";"7";"2020-07-28T22:30:04.006302Z";"3997"
"dublin";"2510";"7";"2020-07-27T15:00:23.867317Z";"23861"
"dublin";"781";"7";"2020-07-26T01:40:22.092271Z";"22089"
"dublin";"4518";"7";"2020-07-29T06:20:05.271874Z";"5268"
"dublin";"783";"7";"2020-07-26T01:45:12.773Z";"12770"
"dublin";"2513";"7";"2020-07-27T15:05:04.957128Z";"4945"
"dublin";"787";"7";"2020-07-26T01:50:02.925686Z";"2921"
"dublin";"791";"7";"2020-07-26T01:55:04.192312Z";"4184"
"dublin";"4121";"7";"2020-07-28T22:35:04.051022Z";"4042"
"dublin";"400";"7";"2020-07-25T18:00:05.349362Z";"5345"
"dublin";"794";"7";"2020-07-26T02:00:04.809114Z";"4805"
"dublin";"2517";"7";"2020-07-27T15:10:12.77726Z";"12774"
"dublin";"161";"7";"2020-07-25T13:10:04.877837Z";"4860"
"dublin";"1809";"7";"2020-07-27T01:25:04.08613Z";"4082"
"dublin";"633";"7";"2020-07-25T22:50:05.356118Z";"5352"
"dublin";"804";"7";"2020-07-26T02:10:21.71047Z";"21701"
"dublin";"807";"7";"2020-07-26T02:15:05.318084Z";"5308"
"dublin";"2520";"7";"2020-07-27T15:15:03.477271Z";"3474"
"dublin";"629";"7";"2020-07-25T22:45:04.142193Z";"4138"
"dublin";"2521";"7";"2020-07-27T15:20:04.234547Z";"4226"
"dublin";"815";"7";"2020-07-26T02:20:16.554157Z";"16551"
"dublin";"1981";"7";"2020-07-27T04:40:04.13662Z";"4124"
"dublin";"818";"7";"2020-07-26T02:25:05.689533Z";"5674"
"dublin";"823";"7";"2020-07-26T02:30:10.570719Z";"10562"
"dublin";"4128";"7";"2020-07-28T22:40:04.103374Z";"4086"
"dublin";"826";"7";"2020-07-26T02:35:14.366899Z";"14363"
"dublin";"4949";"7";"2020-07-29T14:50:05.351466Z";"5341"
"dublin";"830";"7";"2020-07-26T02:40:12.600024Z";"12596"
"dublin";"833";"7";"2020-07-26T02:45:05.514076Z";"5508"
